Lance Gibson,Jermaine Andre,2000-03-10 00:00:00,16
Dave Menne,Fabiano Iha,2000-03-10 00:00:00,16
Bob Cook,Tiki Ghosn,2000-03-10 00:00:00,16
Jens Pulver,David Velasquez,2000-03-10 00:00:00,16
Scott Adams,Ian Freeman,2000-03-10 00:00:00,16
Shonie Carter,Brad Gumm,2000-03-10 00:00:00,16
Tito Ortiz,Wanderlei Silva,2000-04-14 00:00:00,16
Murilo Bustamante,Yoji Anjo,2000-04-14 00:00:00,16
Sanae Kikuta,Eugene Jackson,2000-04-14 00:00:00,18
Ron Waterman,Satoshi Honma,2000-04-14 00:00:00,17
Ikuhisa Minowa,Joe Slick,2000-04-14 00:00:00,17
Laverne Clark,Koji Oishi,2000-04-14 00:00:00,14
Kevin Randleman,Pedro Rizzo,2000-06-09 00:00:00,19
Tyrone Roberts,David Dodd,2000-06-09 00:00:00,16
Pat Miletich,John Alessio,2000-06-09 00:00:00,13
Amaury Bitetti,Alex Andrade,2000-06-09 00:00:00,17
Matt Hughes,Marcelo Aguiar,2000-06-09 00:00:00,16
Jens Pulver,Joao Roque,2000-06-09 00:00:00,16
Ian Freeman,Nate Schroeder,2000-06-09 00:00:00,17
Shonie Carter,Adrian Serrano,2000-06-09 00:00:00,16
Pedro Rizzo,Dan Severn,2000-09-22 00:00:00,18
Maurice Smith,Bobby Hoffman,2000-09-22 00:00:00,15
Jeremy Horn,Eugene Jackson,2000-09-22 00:00:00,16
Fabiano Iha,Laverne Clark,2000-09-22 00:00:00,21
Yuki Kondo,Alexandre Dantas,2000-09-22 00:00:00,16
Ian Freeman,Tedd Williams,2000-09-22 00:00:00,17
Jeff Monson,Tim Lajcik,2000-09-22 00:00:00,16
Randy Couture,Kevin Randleman,2000-11-17 00:00:00,15
Renato Sobral,Maurice Smith,2000-11-17 00:00:00,18
Josh Barnett,Gan McGee,2000-11-17 00:00:00,16
Andrei Arlovski,Aaron Brink,2000-11-17 00:00:00,16
Jens Pulver,John Lewis,2000-11-17 00:00:00,16
Mark Hughes,Alex Stiebling,2000-11-17 00:00:00,16
Ben Earwood,Chris Lytle,2000-11-17 00:00:00,16
Tito Ortiz,Yuki Kondo,2000-12-16 00:00:00,15
Pat Miletich,Kenichi Yamamoto,2000-12-16 00:00:00,14
Matt Lindland,Yoji Anjo,2000-12-16 00:00:00,15
Fabiano Iha,Daiju Takase,2000-12-16 00:00:00,15
Evan Tanner,Lance Gibson,2000-12-16 00:00:00,16
Dennis Hallman,Matt Hughes,2000-12-16 00:00:00,18
Chuck Liddell,Jeff Monson,2000-12-16 00:00:00,17
Tito Ortiz,Evan Tanner,2001-02-23 00:00:00,16
Jens Pulver,Caol Uno,2001-02-23 00:00:00,14
Fabiano Iha,Phil Johns,2001-02-23 00:00:00,16
Elvis Sinosic,Jeremy Horn,2001-02-23 00:00:00,18
Pedro Rizzo,Josh Barnett,2001-02-23 00:00:00,14
Phil Baroni,Curtis Stout,2001-02-23 00:00:00,16
Sean Sherk,Tiki Ghosn,2001-02-23 00:00:00,16
Randy Couture,Pedro Rizzo,2001-05-04 00:00:00,16
Carlos Newton,Pat Miletich,2001-05-04 00:00:00,21
Chuck Liddell,Kevin Randleman,2001-05-04 00:00:00,16
Shonie Carter,Matt Serra,2001-05-04 00:00:00,15
Semmy Schilt,Pete Williams,2001-05-04 00:00:00,17
Matt Lindland,Ricardo Almeida,2001-05-04 00:00:00,16
BJ Penn,Joey Gilbert,2001-05-04 00:00:00,16
Tony DeSouza,Steve Berger,2001-05-04 00:00:00,16
Tito Ortiz,Elvis Sinosic,2001-06-29 00:00:00,14
BJ Penn,Din Thomas,2001-06-29 00:00:00,16
Josh Barnett,Semmy Schilt,2001-06-29 00:00:00,17
Pat Miletich,Shonie Carter,2001-06-29 00:00:00,15
Caol Uno,Fabiano Iha,2001-06-29 00:00:00,18
Vladimir Matyushenko,Yuki Kondo,2001-06-29 00:00:00,17
Ricco Rodriguez,Andrei Arlovski,2001-06-29 00:00:00,17
Tony DeSouza,Paul Rodriguez,2001-06-29 00:00:00,16
Tito Ortiz,Vladimir Matyushenko,2001-09-28 00:00:00,13
Jens Pulver,Dennis Hallman,2001-09-28 00:00:00,14
Chuck Liddell,Murilo Bustamante,2001-09-28 00:00:00,15
Matt Serra,Yves Edwards,2001-09-28 00:00:00,17
Dave Menne,Gil Castillo,2001-09-28 00:00:00,16
Jutaro Nakao,Tony DeSouza,2001-09-28 00:00:00,18
Ricardo Almeida,Eugene Jackson,2001-09-28 00:00:00,17
Din Thomas,Fabiano Iha,2001-09-28 00:00:00,17
Randy Couture,Pedro Rizzo,2001-11-02 00:00:00,15
Ricco Rodriguez,Pete Williams,2001-11-02 00:00:00,16
Matt Hughes,Carlos Newton,2001-11-02 00:00:00,17
BJ Penn,Caol Uno,2001-11-02 00:00:00,15
Josh Barnett,Bobby Hoffman,2001-11-02 00:00:00,15
Evan Tanner,Homer Moore,2001-11-02 00:00:00,15
Matt Lindland,Phil Baroni,2001-11-02 00:00:00,16
Frank Mir,Roberto Traven,2001-11-02 00:00:00,17
Jens Pulver,BJ Penn,2002-01-11 00:00:00,15
Ricco Rodriguez,Jeff Monson,2002-01-11 00:00:00,15
Murilo Bustamante,Dave Menne,2002-01-11 00:00:00,18
Chuck Liddell,Amar Suloev,2002-01-11 00:00:00,14
